Employee ID,Gender,Job Level after FY20 promotions,New hire FY20?,FY20 Performance Rating,Promotion in FY21?,In base group for Promotion FY21,Target hire balance,FY20 leaver?,In base group for turnover FY20,Department @01.07.2020,Leaver FY,Job Level after FY21 promotions,Last Department in FY20,FTE group,Time type,Department & JL group PRA status,Department & JL group for PRA,Job Level group PRA status,Job Level group for PRA,Time in Job Level @01.07.2020,Job Level before FY20 promotions,Promotion in FY20?,FY19 Performance Rating,Age group,Age @01.07.2020,Nationality 1,Region group: nationality 1,Broad region group: nationality 1,Last hire date,Years since last hire,Rand,RAND,GENDER,GRADE,FUNCTION,OC_RATE,PERFORM,Y_GRADE,AGE,Y_SERVIC,Nationality,Rank 2,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,1,2,3,4,5,6,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
210.0,Female,4 - Manager,N,,No,No,0.5,Yes,Y,Sales & Marketing,FY20,,Sales & Marketing,Full Time,Full Time,,,,,3.0,4 - Manager,N,2.0,50 to 59,51.0,Switzerland,Switzerland,Switzerland,2011-04-01,9.0,0.2593792322935673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211.0,Male,6 - Junior Officer,N,3.0,No,Yes,0.5,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3.0,6 - Junior Officer,N,3.0,20 to 29,21.0,Switzerland,Switzerland,Switzerland,2017-04-01,3.0,0.3470974302557996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212.0,Male,5 - Senior Officer,Y,,No,No,0.5,No,N,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,0.0,,N,,20 to 29,27.0,Switzerland,Switzerland,Switzerland,2020-04-01,0.0,0.5896854644727787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213.0,Female,2 - Director,N,4.0,No,Yes,0.5,No,Y,HR,,2 - Director,HR,Full Time,Full Time,Inconclusive,2 - Director & HR,Uneven - Men benefit,2 - Director,3.0,2 - Director,N,2.0,40 to 49,44.0,Switzerland,Switzerland,Switzerland,2017-04-01,3.0,0.2675132998977347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214.0,Female,6 - Junior Officer,Y,,No,No,0.5,No,N,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,0.0,,N,,20 to 29,28.0,France,Europe,Europe,2020-04-01,0.0,0.2103283889067921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215.0,Male,4 - Manager,N,1.0,Yes,Yes,0.5,No,Y,Operations,,3 - Senior Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,3.0,4 - Manager,N,3.0,30 to 39,37.0,Switzerland,Switzerland,Switzerland,2011-04-01,9.0,0.273063372550905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216.0,Female,5 - Senior Officer,N,,No,No,0.5,Yes,Y,Operations,FY20,,Operations,Full Time,Full Time,,,,,3.0,5 - Senior Officer,N,2.0,40 to 49,44.0,France,Europe,Europe,2011-04-01,9.0,0.3514208073301219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217.0,Female,6 - Junior Officer,N,2.0,No,Yes,0.5,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,1.0,6 - Junior Officer,N,,20 to 29,22.0,Switzerland,Switzerland,Switzerland,2019-04-01,1.0,0.3294742691165391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218.0,Male,5 - Senior Officer,N,2.0,No,Yes,0.5,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3.0,5 - Senior Officer,N,3.0,20 to 29,29.0,Switzerland,Switzerland,Switzerland,2013-04-01,7.0,0.6235169013914136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219.0,Female,3 - Senior Manager,Y,,No,No,0.5,No,N,Operations,,3 - Senior Manager,Operations,Full Time,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,0.0,,N,,30 to 39,36.0,Switzerland,Switzerland,Switzerland,2020-04-01,0.0,0.6063547593347484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220.0,Male,5 - Senior Officer,N,3.0,No,Yes,0.5,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,4.0,5 - Senior Officer,N,3.0,20 to 29,29.0,Germany,Europe,Europe,2011-04-01,9.0,0.6039293764163851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221.0,Female,5 - Senior Officer,Y,,No,No,0.5,No,N,Strategy,,5 - Senior Officer,Strategy,Full Time,Full Time,Inconclusive,5 - Senior Officer & Strategy,Even,5 - Senior Officer,0.0,,N,,20 to 29,28.0,Switzerland,Switzerland,Switzerland,2020-04-01,0.0,0.266750300311417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222.0,Male,2 - Director,N,3.0,Yes,Yes,0.5,No,Y,Sales & Marketing,,1 - Executive,Sales & Marketing,Full Time,Full Time,Inconclusive,2 - Director & Sales & Marketing,Uneven - Men benefit,2 - Director,6.0,2 - Director,N,3.0,30 to 39,39.0,Switzerland,Switzerland,Switzerland,2012-04-01,8.0,0.1290364598162043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.0,Female,5 - Senior Officer,N,,No,No,0.5,Yes,Y,Sales & Marketing,FY20,,Sales & Marketing,Full Time,Full Time,,,,,5.0,5 - Senior Officer,N,3.0,20 to 29,29.0,Switzerland,Switzerland,Switzerland,2011-04-01,9.0,0.1778343665824382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.0,Male,3 - Senior Manager,N,2.0,No,Yes,0.5,No,Y,Internal Services,,3 - Senior Manager,Internal Services,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Internal Services,Uneven - Men benefit,3 - Senior Manager,2.0,3 - Senior Manager,N,3.0,40 to 49,46.0,Germany,Europe,Europe,2011-04-01,9.0,0.8106183089637167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225.0,Male,5 - Senior Officer,N,2.0,No,Yes,0.5,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,1.0,6 - Junior Officer,Y,1.0,20 to 29,25.0,Romania,Europe,Europe,2014-04-01,6.0,0.4769271957002423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226.0,Male,6 - Junior Officer,N,2.0,No,Yes,0.5,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,3.0,6 - Junior Officer,N,2.0,20 to 29,21.0,Switzerland,Switzerland,Switzerland,2017-04-01,3.0,0.5401358133658086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227.0,Male,4 - Manager,N,3.0,No,No,0.5,Yes,Y,Sales & Marketing,FY20,,Sales & Marketing,Full Time,Full Time,,,,,3.0,4 - Manager,N,2.0,40 to 49,43.0,Switzerland,Switzerland,Switzerland,2011-04-01,9.0,0.983398264643826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228.0,Male,5 - Senior Officer,N,2.0,Yes,Yes,0.5,No,Y,Internal Services,,4 - Manager,Internal Services,Full Time,Full Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,2.0,5 - Senior Officer,N,3.0,30 to 39,31.0,Switzerland,Switzerland,Switzerland,2016-04-01,4.0,0.9271996648592028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229.0,Male,3 - Senior Manager,N,2.0,No,Yes,0.5,No,Y,Internal Services,,3 - Senior Manager,Internal Services,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Internal Services,Uneven - Men benefit,3 - Senior Manager,3.0,3 - Senior Manager,N,2.0,30 to 39,35.0,Switzerland,Switzerland,Switzerland,2016-04-01,4.0,0.218067098472883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230.0,Female,6 - Junior Officer,N,2.0,No,No,0.5,Yes,Y,Operations,FY20,,Operations,Full Time,Full Time,,,,,2.0,6 - Junior Officer,N,3.0,40 to 49,42.0,Switzerland,Switzerland,Switzerland,2018-04-01,2.0,0.570644498552826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231.0,Male,3 - Senior Manager,N,3.0,No,Yes,0.5,No,Y,Finance,,3 - Senior Manager,Finance,Full Time,Full Time,Inconclusive,3 - Senior Manager & Finance,Uneven - Men benefit,3 - Senior Manager,3.0,3 - Senior Manager,N,3.0,30 to 39,39.0,France,Europe,Europe,2016-04-01,4.0,0.8518518114351408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232.0,Female,6 - Junior Officer,N,2.0,Yes,Yes,0.5,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3.0,6 - Junior Officer,N,3.0,30 to 39,34.0,Spain,Europe,Europe,2017-04-01,3.0,0.1905566333003383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233.0,Female,6 - Junior Officer,Y,,No,No,0.5,No,N,Strategy,,6 - Junior Officer,Strategy,0.8,Part Time,Inconclusive,6 - Junior Officer & Strategy,Even,6 - Junior Officer,0.0,,N,,20 to 29,25.0,Switzerland,Switzerland,Switzerland,2020-04-01,0.0,0.2943647032760444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234.0,Female,6 - Junior Officer,N,2.0,Yes,Yes,0.5,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2.0,6 - Junior Officer,N,2.0,20 to 29,29.0,Germany,Europe,Europe,2018-04-01,2.0,0.8594246338554238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235.0,Male,4 - Manager,N,3.0,No,Yes,0.5,No,Y,Internal Services,,4 - Manager,Internal Services,Full Time,Full Time,Even,4 - Manager & Internal Services,Even,4 - Manager,2.0,4 - Manager,N,3.0,30 to 39,32.0,Switzerland,Switzerland,Switzerland,2014-04-01,6.0,0.1764348321259022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236.0,Female,6 - Junior Officer,N,3.0,No,Yes,0.5,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,1.0,6 - Junior Officer,N,,20 to 29,22.0,Switzerland,Switzerland,Switzerland,2019-04-01,1.0,0.2195936708293315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237.0,Female,6 - Junior Officer,N,2.0,Yes,Yes,0.5,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,4.0,6 - Junior Officer,N,3.0,30 to 39,31.0,Switzerland,Switzerland,Switzerland,2016-04-01,4.0,0.9331393891741704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238.0,Female,6 - Junior Officer,Y,,No,No,0.5,No,N,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,0.0,,N,,20 to 29,22.0,France,Europe,Europe,2020-04-01,0.0,0.3569643428800154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239.0,Male,4 - Manager,N,2.0,No,Yes,0.5,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,2.0,4 - Manager,N,2.0,30 to 39,36.0,Italy,Europe,Europe,2014-04-01,6.0,0.3138941387196631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240.0,Female,6 - Junior Officer,N,2.0,No,Yes,0.5,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,4.0,6 - Junior Officer,N,3.0,20 to 29,27.0,Italy,Europe,Europe,2016-04-01,4.0,0.0205236613590358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241.0,Female,4 - Manager,N,2.0,No,Yes,0.5,No,Y,Internal Services,,4 - Manager,Internal Services,Full Time,Full Time,Even,4 - Manager & Internal Services,Even,4 - Manager,2.0,4 - Manager,N,2.0,30 to 39,38.0,Germany,Europe,Europe,2018-04-01,2.0,0.1289748090319113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242.0,Male,5 - Senior Officer,N,3.0,No,No,0.5,Yes,Y,Internal Services,FY20,,Internal Services,Full Time,Full Time,,,,,3.0,5 - Senior Officer,N,3.0,30 to 39,37.0,France,Europe,Europe,2017-04-01,3.0,0.8477782923906795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243.0,Male,2 - Director,N,3.0,No,Yes,0.5,No,Y,Operations,,2 - Director,Operations,Full Time,Full Time,Even,2 - Director & Operations,Uneven - Men benefit,2 - Director,1.0,3 - Senior Manager,Y,2.0,40 to 49,42.0,Switzerland,Switzerland,Switzerland,2013-04-01,7.0,0.6093682286885767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244.0,Male,3 - Senior Manager,N,2.0,No,Yes,0.5,No,Y,Sales & Marketing,,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,4.0,3 - Senior Manager,N,4.0,40 to 49,41.0,United Kingdom,Europe,Europe,2011-04-01,9.0,0.2464511048656237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245.0,Female,5 - Senior Officer,N,2.0,No,No,0.5,Yes,Y,Operations,FY20,,Operations,0.7,Part Time,,,,,5.0,5 - Senior Officer,N,3.0,40 to 49,49.0,Switzerland,Switzerland,Switzerland,2015-04-01,5.0,0.9226466973950656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246.0,Male,6 - Junior Officer,N,3.0,No,No,0.5,Yes,Y,Sales & Marketing,FY20,,Sales & Marketing,Full Time,Full Time,,,,,5.0,6 - Junior Officer,N,3.0,20 to 29,25.0,Switzerland,Switzerland,Switzerland,2015-04-01,5.0,0.1964250819760947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247.0,Male,6 - Junior Officer,N,3.0,No,Yes,0.5,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3.0,6 - Junior Officer,N,3.0,20 to 29,22.0,Switzerland,Switzerland,Switzerland,2017-04-01,3.0,0.0684505786235761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248.0,Male,4 - Manager,N,2.0,No,Yes,0.5,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,1.0,5 - Senior Officer,Y,1.0,30 to 39,30.0,Spain,Europe,Europe,2012-04-01,8.0,0.4040508685920334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249.0,Male,6 - Junior Officer,N,2.0,No,Yes,0.5,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2.0,6 - Junior Officer,N,3.0,20 to 29,21.0,Switzerland,Switzerland,Switzerland,2018-04-01,2.0,0.8775281769287249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250.0,Male,6 - Junior Officer,N,2.0,No,No,0.5,Yes,Y,Operations,FY20,,Operations,Full Time,Full Time,,,,,5.0,6 - Junior Officer,N,2.0,20 to 29,24.0,Switzerland,Switzerland,Switzerland,2015-04-01,5.0,0.1672215754432321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251.0,Male,6 - Junior Officer,N,2.0,Yes,Yes,0.5,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,1.0,6 - Junior Officer,N,,20 to 29,29.0,Switzerland,Switzerland,Switzerland,2019-04-01,1.0,0.1004681704998735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252.0,Female,6 - Junior Officer,N,2.0,No,Yes,0.5,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2.0,6 - Junior Officer,N,3.0,20 to 29,27.0,Switzerland,Switzerland,Switzerland,2018-04-01,2.0,0.5615395793170335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253.0,Male,6 - Junior Officer,N,4.0,No,Yes,0.5,No,Y,Finance,,6 - Junior Officer,Finance,Full Time,Full Time,Inconclusive,6 - Junior Officer & Finance,Even,6 - Junior Officer,5.0,6 - Junior Officer,N,2.0,20 to 29,26.0,Switzerland,Switzerland,Switzerland,2015-04-01,5.0,0.321668620092798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254.0,Female,6 - Junior Officer,N,2.0,No,Yes,0.5,No,Y,Internal Services,,6 - Junior Officer,Internal Services,Full Time,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,2.0,6 - Junior Officer,N,3.0,20 to 29,23.0,Switzerland,Switzerland,Switzerland,2018-04-01,2.0,0.6043178240552173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255.0,Male,6 - Junior Officer,N,3.0,No,Yes,0.5,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1.0,6 - Junior Officer,N,,20 to 29,26.0,Switzerland,Switzerland,Switzerland,2019-04-01,1.0,0.7535343860491366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256.0,Female,5 - Senior Officer,N,3.0,No,Yes,0.5,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,3.0,5 - Senior Officer,N,3.0,20 to 29,29.0,Germany,Europe,Europe,2015-04-01,5.0,0.1794511566486063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257.0,Male,1 - Executive,N,,No,No,0.5,No,Y,Strategy,,1 - Executive,Strategy,Full Time,Full Time,,,,,3.0,1 - Executive,N,3.0,40 to 49,43.0,Switzerland,Switzerland,Switzerland,2011-04-01,9.0,0.9527003837333454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258.0,Male,6 - Junior Officer,N,3.0,No,Yes,0.5,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2.0,6 - Junior Officer,N,3.0,20 to 29,26.0,France,Europe,Europe,2018-04-01,2.0,0.6422766623131453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259.0,Female,6 - Junior Officer,N,3.0,No,Yes,0.5,No,Y,HR,,6 - Junior Officer,HR,Full Time,Full Time,Inconclusive,6 - Junior Officer & HR,Even,6 - Junior Officer,3.0,6 - Junior Officer,N,3.0,20 to 29,23.0,Switzerland,Switzerland,Switzerland,2017-04-01,3.0,0.0317784211383589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260.0,Male,5 - Senior Officer,N,3.0,No,Yes,0.5,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,2.0,5 - Senior Officer,N,3.0,20 to 29,28.0,Switzerland,Switzerland,Switzerland,2015-04-01,5.0,0.5620246344713188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261.0,Female,4 - Manager,N,2.0,No,Yes,0.5,No,Y,HR,,4 - Manager,HR,Full Time,Full Time,Inconclusive,4 - Manager & HR,Even,4 - Manager,7.0,4 - Manager,N,3.0,30 to 39,39.0,France,Europe,Europe,2013-04-01,7.0,0.4330094372687763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262.0,Male,2 - Director,N,2.0,No,Yes,0.5,No,Y,Finance,,2 - Director,Finance,Full Time,Full Time,Inconclusive,2 - Director & Finance,Uneven - Men benefit,2 - Director,1.0,3 - Senior Manager,Y,2.0,40 to 49,41.0,Switzerland,Switzerland,Switzerland,2015-04-01,5.0,0.0020350278589961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263.0,Male,5 - Senior Officer,Y,,No,No,0.5,No,N,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,0.0,,N,,20 to 29,27.0,Austria,Europe,Europe,2020-04-01,0.0,0.2694623672363314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264.0,Male,6 - Junior Officer,N,2.0,Yes,Yes,0.5,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1.0,6 - Junior Officer,N,,20 to 29,28.0,France,Europe,Europe,2019-04-01,1.0,0.4904875145461868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265.0,Female,4 - Manager,N,2.0,No,Yes,0.5,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,2.0,4 - Manager,N,3.0,40 to 49,41.0,Switzerland,Switzerland,Switzerland,2012-04-01,8.0,0.9232202795151978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266.0,Female,5 - Senior Officer,N,3.0,No,Yes,0.5,No,Y,Operations,,5 - Senior Officer,Operations,0.8,Part Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,2.0,5 - Senior Officer,N,2.0,30 to 39,32.0,Switzerland,Switzerland,Switzerland,2018-04-01,2.0,0.8366043048335836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267.0,Female,5 - Senior Officer,N,2.0,No,Yes,0.5,No,Y,Finance,,5 - Senior Officer,Finance,Full Time,Full Time,Inconclusive,5 - Senior Officer & Finance,Even,5 - Senior Officer,1.0,6 - Junior Officer,Y,1.0,20 to 29,29.0,Switzerland,Switzerland,Switzerland,2017-04-01,3.0,0.3589215361158818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268.0,Female,6 - Junior Officer,N,3.0,No,Yes,0.5,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3.0,6 - Junior Officer,N,3.0,20 to 29,23.0,France,Europe,Europe,2017-04-01,3.0,0.564472107677192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269.0,Male,5 - Senior Officer,N,3.0,Yes,Yes,0.5,No,Y,Strategy,,4 - Manager,Strategy,Full Time,Full Time,Inconclusive,5 - Senior Officer & Strategy,Even,5 - Senior Officer,3.0,5 - Senior Officer,N,3.0,30 to 39,36.0,Switzerland,Switzerland,Switzerland,2017-04-01,3.0,0.906441705454348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270.0,Female,6 - Junior Officer,N,2.0,No,Yes,0.5,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,5.0,6 - Junior Officer,N,3.0,20 to 29,27.0,Switzerland,Switzerland,Switzerland,2015-04-01,5.0,0.59923158934113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271.0,Female,4 - Manager,N,4.0,No,Yes,0.5,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,3.0,4 - Manager,N,3.0,40 to 49,41.0,Switzerland,Switzerland,Switzerland,2011-04-01,9.0,0.917970212094889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272.0,Female,2 - Director,Y,,No,No,0.5,No,N,Operations,,2 - Director,Operations,Full Time,Full Time,Even,2 - Director & Operations,Uneven - Men benefit,2 - Director,0.0,,N,,30 to 39,39.0,Switzerland,Switzerland,Switzerland,2020-04-01,0.0,0.5895763995299661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273.0,Female,6 - Junior Officer,N,3.0,No,Yes,0.5,No,Y,Internal Services,,6 - Junior Officer,Internal Services,Full Time,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,4.0,6 - Junior Officer,N,3.0,20 to 29,24.0,Switzerland,Switzerland,Switzerland,2016-04-01,4.0,0.0545595224810582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274.0,Male,6 - Junior Officer,N,2.0,No,Yes,0.5,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2.0,6 - Junior Officer,N,3.0,16 to 19,19.0,Switzerland,Switzerland,Switzerland,2018-04-01,2.0,0.0175735522955695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275.0,Female,2 - Director,N,3.0,No,No,0.5,Yes,Y,Operations,FY20,,Operations,Full Time,Full Time,,,,,5.0,2 - Director,N,,40 to 49,41.0,France,Europe,Europe,2015-04-01,5.0,0.8269050839365614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276.0,Male,6 - Junior Officer,N,1.0,No,Yes,0.5,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,3.0,6 - Junior Officer,N,2.0,16 to 19,19.0,France,Europe,Europe,2017-04-01,3.0,0.0540019396064774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277.0,Male,6 - Junior Officer,N,3.0,No,Yes,0.5,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3.0,6 - Junior Officer,N,2.0,20 to 29,23.0,France,Europe,Europe,2017-04-01,3.0,0.8908230084276322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
